Year,Month,Cover Model
1986,March,Janet Jones
1986,April,Ava Fabian
1986,May,Vanna White
1986,June,Donna Edmondson
1986,July,Sandy Greenberg
1986,August,Paulina Porizkova
1986,September,"Maryam d'Abo, Kim Basinger, Beth Hyatt, Timothy Dalton"
1986,October,Brandi Brandt
1986,November,Jessica Hahn
1986,December,Brigitte Nielsen
1987,January,"Vol. 34, No. 1"
1987,February,Sandy Greenberg
1987,March,Terri Lynn Doss
1987,April,Vanity
1987,May,Laurie Carr
1987,June,India Allen
1987,July,Cindy Crawford
1987,August,Kimberley Conrad
1987,September,Jessica Hahn
1987,October,Terri Lynn Doss
1987,November,Laura Richmond
1987,December,Kata Kärkkäinen
1988,January,Marilyn Monroe
1988,February,Michele Smith
1988,March,La Toya Jackson
1988,April,Erika Eleniak
1988,May,Natalya Negoda
1988,June,Kimberley Conrad
1988,July,Shelly Jamison
1988,August,Brandi Brandt
1988,September,Karin and Mirjam van Breeschooten
1988,October,Pamela Anderson
1988,November,Donna Mills
1988,December,Candice Bergen
1989,January,35th Anniversary Issue
1989,February,Michele Smith
1989,March,LaToya Jackson
1989,April,Erika Eleniak
1989,May,Natalya Negoda
1989,June,Kimberley Conrad
1989,July,Shelly Jamison
1989,August,Brandi Brandt
1989,September,Karin and Mirjam van Breeschooten
1989,October,Pamela Anderson
1989,November,Donna Mills
1989,December,Candice Bergen
1990,January,Joan Severance
1990,February,Bogna
1990,March,Donald Trump & Brandi Brandt
1990,April,Deborah Driggs
1990,May,Margaux Hemingway
1990,June,Renee Tenison
1990,July,Sharon Stone
1990,August,Erika Eleniak
1990,September,Rosanna Arquette
1990,October,Melissa Evridge
1990,November,Teri Copley
1990,December,Sherilyn Fenn
1991,January,Stacy Arthur
1991,February,Pamela Anderson
1991,March,Stephanie Seymour
1991,April,Julie Clarke
1991,May,Shannon and Tracy Tweed
1991,June,Lisa Matthews
1991,July,Samantha Dorman
1991,August,Caprice
1991,September,The Barbi Twins
1991,October,Tai Collins
1991,November,La Toya Jackson
1991,December,Dian Parkinson
1992,January,Swedish Bikini Team
1992,February,Rachel Williams
1992,March,Anna Nicole Smith
1992,April,Wendy Kaye
1992,May,Elizabeth Gracen
1992,June,Corinna Harney
1992,July,Pamela Anderson
1992,August,Margie Murphy
1992,September,Sandra Bernhard
1992,October,Cristy Thom
1992,November,Joan Severance
1992,December,Sharon Stone
1993,January,The Barbi Twins
1993,February,Stephanie Seymour
1993,March,Mimi Rogers
1993,April,Tonja Christensen
1993,May,Dian Parkinson
1993,June,Anna Nicole Smith
1993,July,Charlotte Lewis
1993,August,"Pamela Anderson, Dan Aykroyd"
1993,September,Jennifer Driver
1993,October,"Jerry Seinfeld, Echo Johnson, Barbara Moore, Kimberly Donley, Suzi Simpson, Carrie Westcott, Tylyn John, Cheryl Bachman, Alex Philip"
1993,November,"Marilise Porto, Lilian Porto, Renata Porto"
1993,December,Erika Eleniak
1994,January,Marilyn Monroe
1994,February,Anna Nicole Smith
1994,March,Shannen Doherty
1994,April,Heidi Mark
1994,May,Elle Macpherson
1994,June,Jenny McCarthy
1994,July,Patti Davis
1994,August,Carol Shaya
1994,September,Robin Givens
1994,October,Jennifer Lavoie
1994,November,Pamela Anderson
1994,December,Bo Derek
1995,January,Drew Barrymore
1995,February,Victoria Jacobs
1995,March,Amber Smith
1995,April,Shana Hiatt
1995,May,Nancy Sinatra
1995,June,Julie Lynn Cialini
1995,July,Sandra Taylor
1995,August,Shelly Jones
1995,September,Kimberley Conrad Hefner
1995,October,Lisa Boyle
1995,November,Tahnee Welch
1995,December,Farrah Fawcett
1996,January,Pamela Anderson
1996,February,"Leslie Nielsen, Sandra Taylor, Catherine Shaw & Traci Adell"
1996,March,Amara Dunae
1996,April,Samantha Torres
1996,May,Cindy Crawford
1996,June,Stacy Sanches
1996,July,Jenny McCarthy
1996,August,Leeann Tweeden
1996,September,Uma Thurman
1996,October,Jennifer Allan (alternate Canadian cover: Samantha Fox)
1996,November,Donna D'Errico
1996,December,Jenny McCarthy
1997,January,Marilyn Monroe
1997,February,"Echo Johnson, Anna-Marie Goddard, Rachel Jeán Marteen, and Jami Ferrell"
1997,March,Faye Resnick
1997,April,Joey Heatherton
1997,May,Claudia Schiffer
1997,June,Victoria Silvstedt
1997,July,Farrah Fawcett 
1997,August,Nikki Ziering
1997,September,Jenny McCarthy or Pamela Anderson 
1997,October,Stacy Fuson
1997,November,Suzen Johnson
1997,December,Danielle House
1998,January,Shannon Tweed
1998,February,Daphne Deckers
1998,March,Marliece Andrada
1998,April,Linda Brava
1998,May,Geri Halliwell
1998,June,"Donna D'Errico, Traci Bingham, Marliece Andrada, Pamela Anderson, Yasmine Bleeth, Carmen Electra, Gena Lee Nolin, Erika Eleniak"
1998,July,Karen McDougal
1998,August,Julie Brown
1998,September,Lisa Rinna
1998,October,Cindy Crawford
1998,November,Julia Schultz
1998,December,Katarina Witt
1999,January,Marilyn Monroe (photomosaic of Playboy covers)
1999,February,Pamela Anderson
1999,March,Gene Simmons and unidentified models
1999,April,Sable
1999,May,Charlize Theron
1999,June,Heather Kozar
1999,July,Brooke Richards
1999,August,Nell McAndrew
1999,September,Sable
1999,October,Jennifer Rovero
1999,November,Mia St. John (alternate Canadian cover: Cara Wakelin)
1999,December,Naomi Campbell
2000,January,Peter Max cover art (illustration)
2000,February,Angie Everhart
2000,March,Caprice Bourret
2000,April,Bijou Phillips
2000,May,"Sandy Bentley, Mandy Bentley"
2000,June,Jodi Ann Paterson
2000,July,Jaime Bergman
2000,August,Darva Conger
2000,September,Shari Belafonte
2000,October,Lauren Michelle Hill
2000,November,Chyna
2000,December,Carmen Electra
2001,January,Gabrielle Reece
2001,February,Anna Nicole Smith
2001,March,Kylie Bax
2001,April,Irina Voronina
2001,May,Brooke Burke
2001,June,Brande Roderick
2001,July,Pamela Anderson
2001,August,Belinda Carlisle
2001,September,Jerri Manthey
2001,October,"Julia Schultz, Stephanie Heinrich, Nicole Lenz"
2001,November,Angelica Bridges
2001,December,Gena Lee Nolin
2002,January,Chyna
2002,February,Dedee Pfeiffer
2002,March,"Kira Kener, Dasha, Tera Patrick"
2002,April,Tiffany
2002,May,Kiana Tom
2002,June,Dalene Kurtis
2002,July,"Shallan Meiers, Christina Santiago, Lauren Anderson"
2002,August,Christine Nielsen
2002,September,Jordan
2002,October,Teri Marie Harrison
2002,November,Kristy Swanson
2002,December,Dita Von Teese
2003,January,Tia Carrere
2003,February,Alison Eastwood
2003,March,Dorismar
2003,April,Carmen Electra
2003,May,Torrie Wilson
2003,June,Sarah Kozer
2003,July,Nikki Ziering
2003,August,"Jenna Morasca, Heidi Strobel"
2003,September,Signe Nordli
2003,October,Lauren Hill
2003,November,Daryl Hannah
2003,December,Shannen Doherty
2004,January,50th Anniversary Issue
2004,February,Jaime Pressly
2004,March,"Sable, Torrie Wilson"
2004,April,Rachel Hunter
2004,May,Pamela Anderson
2004,June,Charisma Carpenter
2004,July,Peta Wilson
2004,August,Eva Herzigova
2004,September,Amy Acuff
2004,October,Evelyn Gery
2004,November,Brooke Burke
2004,December,Denise Richards
2005,January,Jenny McCarthy
2005,February,Teri Polo
2005,March,Paris Hilton
2005,April,Christy Hemme
2005,May,Michelle Baena
2005,June,Bai Ling
2005,July,Joanna Krupa
2005,August,Diora Baird
2005,September,Jessica Canseco
2005,October,Sara Jean Underwood
2005,November,"Holly Madison, Bridget Marquardt & Kendra Wilkinson"
2005,December,Marilyn Monroe
2006,January,Lisa Guerrero
2006,February,Adrianne Curry
2006,March,Jessica Alba
2006,April,Candice Michelle
2006,May,Alison Waite
2006,June,Kara Monaco
2006,July,Vida Guerra
2006,August,Monica Leigh
2006,September,"Kendra Wilkinson, Holly Madison & Bridget Marquardt"
2006,October,Tamara Witmer
2006,November,Mercedes McNab
2006,December,Cindy Margolis
2007,January,Pamela Anderson
2007,February,Tricia Helfer
2007,March,Mariah Carey
2007,April,Ashley Massaro
2007,May,Anna Nicole Smith
2007,June,Kristine Lefebvre
2007,July,Amanda Beard
2007,August,Garcelle Beauvais
2007,September,Amanda Paige
2007,October,Giuliana Marino
2007,November,Lindsey Roeper
2007,December,Kim Kardashian
2008,January,Adrianne Curry
2008,February,Tiffany Fallon
2008,March,"Kendra Wilkinson, Holly Madison & Bridget Marquardt"
2008,April,Maria Kanellis
2008,May,Olga Kurbatova
2008,June,Jayde Nicole
2008,July,Cindy Margolis
2008,August,Ashley Harkleroad
2008,September,Anna Faris
2008,October,Kelly Carrington
2008,November,Rachelle Leah
2008,December,Carol Alt
2009,January,Carmen Electra
2009,February,"Holly Madison, Bridget Marquardt, Kendra Wilkinson"
2009,March,Aubrey O'Day
2009,April,"Seth Rogen, Hope Dworaczyk"
2009,May,Lisa Rinna
2009,June,America Olivo
2009,July,Olivia Munn
2009,August,Olivia Munn
2009,September,Heidi Montag
2009,October,"Kiera Gormley, Tuuli Shipster"
