year,issue_period,display_label,cover_model,playmate_name,interview_subject,notable_cover_names,source_confidence
1969,February,February 1969,Nancy Chamberlain,Lorrie Menconi,Mort Sahl,,verified
1969,March,March 1969,Penny James,Kathy MacDonald,Marshall McLuhan,,verified
1969,April,April 1969,Sharon Kristie,Lorna Hopper,Allen Ginsberg,,verified
1969,May,May 1969,Paulette Lindberg,Sally Sheffield,Bill Cosby,,verified
1969,June,June 1969,Connie Kreski,Helena Antonaccio,Gore Vidal,,verified
1969,July,July 1969,Barbara Klein (Barbi Benton),Nancy McNeil,Rod Steiger,,verified
1969,August,August 1969,Penny James,Debbie Hooper,Ramsey Clark,,verified
1969,September,September 1969,Shay Knuth,Shay Knuth,,,verified
1969,October,October 1969,Paulette Lindberg,Jean Bell,Rowan and Martin,,verified
1969,November,November 1969,"Vol. 16, No. 11",Claudia Jennings,Jesse Jackson,,verified
1969,December,December 1969,Jorja Beck,Gloria Root,Joe Namath,,verified
1970,January,January 1970,"Jean Bell, Lorrie Menconi, Kathy MacDonald, Shay Knuth, Leslie Bianchini",Jill Taylor,Raquel Welch,,verified
1970,February,February 1970,Norma Bauer,Linda Forsythe,,,verified
1970,March,March 1970,Barbi Benton,Chris Koren,Ray Charles,,verified
1970,April,April 1970,Pamela Nystul,Barbara Hillary,Mary Calderone,,verified
1970,May,May 1970,Phyllis Babila,Jennifer Liano,William F. Buckley Jr.,,verified
1970,June,June 1970,Claudia Jennings,Elaine Morton,Tiny Tim,,verified
1970,July,July 1970,Janet Wolf,Carol Willis,Joan Baez,,verified
1970,August,August 1970,Linda Donnelly,Sharon Clark,Paul R. Ehrlich,,verified
1970,September,September 1970,Jackie Ray,Debbie Ellison,Peter Fonda,,verified
1970,October,October 1970,"Mary Collinson, Madeleine Collinson",Madeleine Collinson & Mary Collinson,William Kunstler,,verified
1970,November,November 1970,Crystal Smith,Avis Miller,Elliott Gould,,verified
1970,December,December 1970,Shay Knuth,Carol Imhof,Robert Graves,,verified
1971,January,January 1971,"Mary Collinson, Madeleine Collinson, Jennifer Liano, Sharon Clark, Debbie Ellison",Liv Lindeland,,,verified
1971,February,February 1971,Jayne Smith,Willy Rey,Tom Murton,,verified
1971,March,March 1971,Peggy Smith,Cynthia Hall,Dick Cavett,,verified
1971,April,April 1971,Simone Hammerstrand,Chris Cranston,,,verified
1971,May,May 1971,Diane Davies,Janice Pennington,John Wayne,,verified
1971,June,June 1971,Sharon Clark,Lieko English,Albert Speer,,verified
1971,July,July 1971,Kay Sutton York,Heather Van Every,John Cassavetes,,verified
1971,August,August 1971,Christy Miller,Cathy Rowland,George McGovern,,verified
1971,September,September 1971,Crystal Smith,Crystal Smith,Jules Feiffer,,verified
1971,October,October 1971,Darine Stern,Claire Rambeau,Charles Evers,,verified
1971,November,November 1971,Debbie Hanlon,Danielle de Vabre,Allen Klein,,verified
1971,December,December 1971,"Vol. 18, No. 12",Karen Christy,Roman Polanski,,verified
1972,January,January 1972,"Willy Rey, Liv Lindeland, Crystal Smith, Claire Rambeau",Marilyn Cole,Germaine Greer,,verified
1972,February,February 1972,Barbara Carrera,P. J. Lansing,R. Buckminster Fuller,,verified
1972,March,March 1972,"Vol. 19, No. 3",Ellen Michaels,Saul Alinsky,,verified
1972,April,April 1972,Rosie Holotik,Vicki Peters,Jack Nicholson,,verified
1972,May,May 1972,Barbi Benton,Deanna Baker,Howard Cosell,,verified
1972,June,June 1972,Liv Lindeland,Debbie Davis,Jackie Stewart,,verified
1972,July,July 1972,"Vol. 19, No. 7",Carol O'Neal,Anthony Herbert,,verified
1972,August,August 1972,Carol Vitale,Linda Summers,Sam Peckinpah,,verified
1972,September,September 1972,Sandra Jozefski,Susan Miller,Bernadette Devlin,,verified
1972,October,October 1972,Lynn Myers,Sharon Johansen,Meir Kahane,,verified
1972,November,November 1972,Pamela Rawlings,Lenna Sjooblom,Jack Anderson,,verified
1972,December,December 1972,Bobbie Pollak,Mercy Rooney,Yevgeny Yevtushenko,,verified
1973,January,January 1973,"Linda Summers, Lenna Sjööblom, Marilyn Cole, Deanna Baker, Ellen Michaels",Miki Garcia,Carroll O'Connor,,verified
1973,February,February 1973,Jeanette Larson,Cyndi Wood,Milton Friedman,,verified
1973,March,March 1973,Mercy Rooney,Bonnie Large,Joe Frazier,,verified
1973,April,April 1973,Lenna Sjööblom,Julie Woodson,Tennessee Williams,,verified
1973,May,May 1973,Bernie Becker,Anulka Dziubinska,Huey Newton,,verified
1973,June,June 1973,Marilyn Cole,Ruthy Ross,Walter Cronkite,,verified
1973,July,July 1973,Karen Christy,Martha Smith,Kurt Vonnegut Jr.,,verified
1973,August,August 1973,Cyndi Wood,Phyllis Coleman,David Halberstam,,verified
1973,September,September 1973,Ariel Jones,Geri Glass,,,verified
1973,October,October 1973,Sheila Ryan,Valerie Lane,Pete Rozelle,,verified
1973,November,November 1973,Anne Randall,Monica Tidwell,James Dickey,,verified
1973,December,December 1973,Bonita Lou Rossi,Christine Maddox,Bob Hope,,verified
1974,January,January 1974,20 Anniversary Issue,Nancy Cameron,Hugh Hefner,,verified
1974,February,February 1974,Karen Christy,Francine Parks,Clint Eastwood,,verified
1974,March,March 1974,Deborah Shelton,Pamela Zinszer,Groucho Marx,,verified
1974,April,April 1974,Carron June Sliger,Marlene Morrow,"Jane Fonda, Tom Hayden",,verified
1974,May,May 1974,Marsha Kay,Marilyn Lange,Henry Aaron,,verified
1974,June,June 1974,Cyndi Wood,Sandy Johnson,Elmo Zumwalt,,verified
